GEOID,D001TPOP,gender_female,age_under15,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_over65
0105013,51712,52.34,13.46,15.59,13.18,10.7,11.02,13.94,22.1
0105014,52579,51.24,16.82,11.69,10.57,11.65,13.32,14.91,21.04
0105015,33073,51.04,18.15,11.18,11.21,11.22,14.09,15.15,19.0
0106001,45014,51.13,19.41,12.6,11.89,12.34,12.98,13.65,17.12
0106002,22293,47.08,17.64,11.82,12.84,13.89,13.94,13.65,16.22
0106003,34719,52.28,20.26,16.61,13.26,13.69,12.63,10.83,12.72
0106004,67572,52.03,20.79,13.06,12.44,15.0,14.04,11.27,13.41
0106005,50869,50.65,19.65,11.78,11.72,14.18,13.9,13.02,15.77
0106006,41324,51.96,17.38,12.79,10.48,12.21,13.41,14.74,18.99
0106007,28540,52.45,15.69,13.82,11.28,11.41,14.3,14.67,18.84
0106008,49191,53.94,17.81,17.63,16.91,13.31,10.36,9.29,14.68
0106009,58264,52.91,19.05,12.51,13.87,13.44,11.87,11.43,17.84
0106010,32706,52.0,18.31,11.95,12.56,13.16,12.77,13.65,17.59
0106011,40247,52.47,19.83,12.64,11.23,13.75,13.32,12.91,16.32
0106012,37343,53.29,21.25,13.58,13.28,13.01,12.3,12.74,13.84
0106013,50575,52.15,18.86,11.64,11.78,12.61,12.72,13.89,18.49
0106014,59881,51.57,16.73,11.1,10.62,12.09,13.61,15.72,20.14
0106015,40412,46.62,18.12,12.65,15.05,13.81,14.01,12.9,13.46
0106016,58805,51.72,19.8,12.61,12.38,13.11,13.16,13.21,15.72
0107001,40805,52.09,16.76,12.09,10.0,10.93,13.08,15.5,21.64
